event_id,name
386566,MFA
386567,Dinner at Seaport
386568,Classmate Dietary
386569,Guest Dietary
386571,Full Package
386572,Clambake
386576,Memorial Service
386577,FDR Suite
386578,Prof Brenner
386579,Tuesday
386581,Monday Dinner
386582,lunch michael smith
386584,Wednesday
386585,Jack Megan
386586,Professor Daley
386587,Wednesday Lunch
386588,stop
386614,Monday
386655,misc
386656,cell phone
386657,dinner option
386658,Salmon
386659,Chicken
386660,Enid Starr
386975,how many
394394,Chicken
