event_id,name
403431,Hotel
403432,Disabilities
403433,Sunday Brunch
403434,Friday Dinner
403435,CellPhone
403436,DietaryGuest
403437,Friday Lunch
403438,Stop
403439,Registration Fee
403440,Saturday Lunch
403441,HeadingFeeStructure
403442,Individual Events
403443,Misc
403444,DietaryClassmate
403445,Saturday Dinner
403446,Full Package
403447,Opening Reception
403449,Notes
hr71-11,NH
hr71-12,NH
hr71-13,NH
hr71-14,NH
hr71-15,NH
hr71-16,NH
hr71-17,NH
hr71-2,NH
hr71-3,NH
hr71-4,NH
hr71-5,NH
hr71-6,NH
hr71-7,NH
hr71-8,NH
hr71-9,NH
